Strain,Taxa_ID,GH1,GH3,GH5,GH6,GH8,bcsZ,GH9,GH12,GH44,GH45,GH48
Acidithiobacillus ferrooxidans ATCC 53993,380394,0,1,0,0,0,0,0,0,0,0,0
Acidithiobacillus thiooxidans ATCC 19377,637390,0,1,0,0,0,0,0,0,0,0,0
Acidovorax avenae subsp. avenae ATCC 19860,643561,0,0,0,0,0,0,0,0,0,0,0
Acidovorax avenae subsp. avenae RS-1,995087,0,0,0,0,0,0,0,0,0,0,0
Acidovorax citrulli AAC00-1,397945,0,0,0,0,0,0,0,0,0,0,0
Acidovorax delafieldii 2AN,573060,0,1,0,0,0,0,0,0,0,0,0
Acidovorax ebreus TPSY,535289,0,1,0,0,0,0,0,0,0,0,0
Acidovorax radicis N35,999386,0,1,0,0,0,1,0,0,0,0,0
Acidovorax radicis N35v,999394,0,1,0,0,0,1,0,0,0,0,0
Acidovorax sp. JS42,232721,0,1,0,0,0,0,0,0,0,0,0
Acidovorax sp. NO-1,512030,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 1656-2,696749,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 3909,886889,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 3990,886888,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 4190,886890,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 6013113,592014,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 6013150,525243,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 6014059,525242,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB0057,480119,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB056,710094,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB058,710095,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB059,710096,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB210,886886,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB307-0294,557600,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB4857,1116233,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB5075,1116234,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB5256,1116235,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB5711,1116236,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AB900,557601,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii ABNIH1,992402,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii ABNIH2,992403,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii ABNIH3,992404,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii ABNIH4,992405,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii ACICU,405416,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii ATCC 17978,400667,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii ATCC 19606,575584,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii AYE,509173,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii D1279779,945556,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii MDR-TJ,889738,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii MDR-ZJ06,497978,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii Naval-18,903897,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii Naval-81,903898,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii OIFC032,903890,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii SDF,509170,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii TCDC-AB0715,980514,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii UMB001,933263,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii UMB002,933264,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii UMB003,933265,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii W6976,981328,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii W7282,981329,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii WM99c,945555,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter bereziniae LMG 1003,981324,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter calcoaceticus DSM 30006,981331,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter calcoaceticus PHEA-2,871585,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter calcoaceticus RUH2202,575585,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter genomosp. 13TU str. NCTC 8102,981325,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter genomosp. 3 str. DSM 21653,981326,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter genomosp. 3 str. DSM 9306,981332,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter haemolyticus ATCC 19194,707232,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter johnsonii SH046,575586,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter junii SH205,575587,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter lwoffii NCTC 5866,981327,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter lwoffii SH145,575588,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter lwoffii WJ10621,1046625,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter parvus DSM 16617,981333,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter pittii D499,1086014,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter radioresistens DSM 6976 = NBRC 102413,981334,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter radioresistens SH164,575589,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter radioresistens SK82,596318,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter sp. ADP1,62977,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter sp. ATCC 27244,525244,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter sp. DR1,436717,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter sp. NBRC 100985,1071390,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter sp. NCTC 10304,981224,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter sp. NCTC 7422,981223,0,1,1,0,0,0,0,0,0,0,0
Acinetobacter sp. P8-3-8,1029823,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter sp. RUH2624,575564,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter sp. SH024,575565,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter ursingii DSM 16037,981336,0,1,0,0,0,0,0,0,0,0,0
Actinobacillus minor 202,591023,0,1,0,0,0,0,0,0,0,0,0
Actinobacillus minor NM305,637911,0,1,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 1 str. 4074,228399,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 10 str. D13039,754259,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 11 str. 56153,754260,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 12 str. 1096,754261,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 13 str. N273,754262,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 2 str. 4226,754254,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 2 str. S1536,871925,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 3 str. JL03,434271,0,1,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 4 str. M62,754255,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 5b str. L20,416269,0,1,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 6 str. Femo,754256,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 7 str. AP76,537457,0,1,0,0,0,0,0,0,0,0,0
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261,754258,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus succinogenes 130Z,339671,1,1,0,0,0,0,0,0,0,0,0
Actinobacillus ureae ATCC 25976,887324,0,0,0,0,0,0,0,0,0,0,0
Advenella kashmirensis WT001,1036672,0,1,0,0,0,0,0,0,0,0,0
Aeromonas caviae Ae398,878320,3,4,1,0,0,1,1,0,0,0,0
Aeromonas hydrophila subsp. hydrophila ATCC 7966,380703,0,3,1,0,0,0,1,0,0,0,0
Aeromonas salmonicida subsp. salmonicida 01-B526,1076135,0,1,1,0,0,0,1,0,0,0,0
Aeromonas salmonicida subsp. salmonicida A449,382245,2,3,1,0,0,0,1,0,0,0,0
Aeromonas veronii B565,998088,0,1,1,0,0,0,1,0,0,0,0
Afipia sp. 1NLS2,666684,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans ANH9381,754507,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans D11S-1,668336,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans D17P-2,754506,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans D17P-3,754505,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans D7S-1,694569,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans serotype a str. H5P1,907486,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans serotype b str. I23C,907492,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans serotype b str. SCC1398,907491,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans serotype c str. SCC2302,907493,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans serotype d str. I63B,907487,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans serotype e str. SC1083,907488,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans serotype e str. SCC393,907489,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans serotype f str. D18P1,907490,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter aphrophilus ATCC 33389,985008,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter aphrophilus F0387,679198,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter aphrophilus NJ8700,634176,0,1,0,0,0,0,0,0,0,0,0
Aggregatibacter segnis ATCC 33393,888057,0,1,0,0,0,0,0,0,0,0,0
Agrobacterium radiobacter K84,311403,1,13,0,0,0,1,0,0,0,0,0
Agrobacterium sp. ATCC 31749,82789,0,1,0,0,0,1,0,0,0,0,0
Agrobacterium sp. H13-3,861208,0,1,0,0,0,0,0,0,0,0,0
Agrobacterium tumefaciens CCNWGS0286,1082932,0,0,0,0,-1,1,0,0,0,0,0
Agrobacterium tumefaciens F2,1050720,0,1,0,0,0,1,0,0,0,0,0
Agrobacterium tumefaciens str. C58,176299,0,1,0,0,0,1,0,0,0,0,0
Agrobacterium vitis S4,311402,2,7,0,0,0,0,0,0,0,0,0
Ahrensia sp. R2A130,744979,1,1,0,0,0,0,0,0,0,0,0
Alcanivorax borkumensis SK2,393595,0,1,0,0,0,0,0,0,0,0,0
Alcanivorax sp. DG881,236097,0,1,0,0,0,0,0,0,0,0,0
Alicycliphilus denitrificans BC,596153,0,1,0,0,0,0,0,0,0,0,0
Alicycliphilus denitrificans K601,596154,0,1,0,0,0,0,0,0,0,0,0
Aliivibrio salmonicida LFI1238,316275,1,1,1,0,0,0,1,0,0,0,0
Alishewanella jeotgali KCTC 22429,1129374,1,1,0,0,0,0,0,0,0,0,0
Alkalilimnicola ehrlichii MLHE-1,187272,0,1,0,0,0,0,0,0,0,0,0
Allochromatium vinosum DSM 180,572477,0,1,0,0,0,0,0,0,0,0,0
alpha proteobacterium BAL199,331869,0,1,0,0,0,0,0,0,0,0,0
alpha proteobacterium HIMB114,684719,0,1,0,0,0,0,0,0,0,0,0
Alteromonadales bacterium TW-7,156578,2,4,0,0,0,1,0,0,0,0,0
Alteromonas macleodii 'Deep ecotype',314275,1,3,0,0,0,1,0,0,0,0,0
Alteromonas macleodii ATCC 27126,529120,2,3,0,0,0,1,0,0,0,0,0
Alteromonas sp. S89,1042377,0,2,0,0,0,0,0,0,0,0,0
Alteromonas sp. SN2,715451,1,2,0,0,0,1,0,0,0,0,0
Anaeromyxobacter dehalogenans 2CP-1,455488,0,1,0,0,1,0,0,0,0,0,0
Anaeromyxobacter dehalogenans 2CP-C,290397,0,1,0,0,1,0,0,0,0,0,0
Anaeromyxobacter sp. Fw109-5,404589,0,0,0,0,1,0,0,0,0,0,0
Anaeromyxobacter sp. K,447217,0,2,0,0,1,0,0,0,0,0,0
Anaplasma centrale str. Israel,574556,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. Florida,320483,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. Florida Relapse,1000935,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. Mississippi,517436,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. Okeechobee,1000936,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. Oklahoma,1000938,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. Puerto Rico,517437,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. South Idaho,1000939,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. St. Maries,234826,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. Virginia,403779,0,0,0,0,0,0,0,0,0,0,0
Anaplasma marginale str. Washington Okanogan,1000937,0,0,0,0,0,0,0,0,0,0,0
Anaplasma phagocytophilum HZ,212042,0,0,0,0,0,0,0,0,0,0,0
Arcobacter butzleri 7h1h,1036172,0,2,0,0,0,0,0,0,0,0,0
Arcobacter butzleri ED-1,944546,0,0,0,0,0,0,0,0,0,0,0
Arcobacter butzleri JV22,888827,0,1,0,0,0,0,0,0,0,0,0
Arcobacter butzleri RM4018,367737,0,1,0,0,0,0,0,0,0,0,0
Arcobacter nitrofigilis DSM 7299,572480,0,0,0,0,0,0,0,0,0,0,0
Arcobacter sp. L,944547,0,0,0,0,0,0,0,0,0,0,0
Aromatoleum aromaticum EbN1,76114,0,1,0,0,0,0,0,0,0,0,0
Asticcacaulis biprosthecum C19,715226,0,3,0,0,0,0,0,0,0,0,0
Asticcacaulis excentricus CB 48,573065,0,20,1,0,0,0,0,0,0,0,0
Aurantimonas manganoxydans SI85-9A1,287752,0,1,0,0,0,1,0,0,0,0,0
Avibacterium paragallinarum 72,948565,0,1,0,0,0,0,0,0,0,0,0
Azoarcus sp. BH72,62928,0,1,0,0,0,0,0,0,0,0,0
Azorhizobium caulinodans ORS 571,438753,0,1,0,0,0,0,0,0,0,0,0
Azospirillum amazonense Y2,1003237,0,5,0,0,0,0,0,0,0,0,0
Azospirillum brasilense Sp245,1064539,0,1,0,0,0,0,0,0,0,0,0
Azospirillum lipoferum 4B,862719,0,0,0,0,0,1,0,0,0,0,0
Azospirillum sp. B510,137722,4,1,0,0,0,1,0,0,0,0,0
Azotobacter vinelandii DJ,322710,0,1,0,0,0,1,0,0,0,0,0
Bacteriovorax marinus SJ,862908,0,2,0,0,0,0,0,0,0,0,0
Bartonella bacilliformis KC583,360095,0,0,0,0,0,0,0,0,0,0,0
Bartonella clarridgeiae 73,696125,0,1,0,0,0,0,0,0,0,0,0
Bartonella grahamii as4aup,634504,0,0,0,0,0,0,0,0,0,0,0
Bartonella henselae str. Houston-1,283166,0,0,1,0,0,0,0,0,0,0,0
Bartonella quintana str. Toulouse,283165,0,0,0,0,0,0,0,0,0,0,0
Bartonella tribocorum CIP 105476,382640,0,0,0,0,0,0,0,0,0,0,0
Baumannia cicadellinicola str. Hc (Homalodisca coagulata),374463,0,0,0,0,0,0,0,0,0,0,0
Bdellovibrio bacteriovorus HD100,264462,0,2,0,0,0,0,0,0,0,0,0
Beijerinckia indica subsp. indica ATCC 9039,395963,0,1,0,0,0,0,0,0,0,0,0
Bermanella marisrubri,207949,0,1,0,0,0,0,0,0,0,0,0
beta proteobacterium KB13,314607,0,1,0,0,0,0,0,0,0,0,0
Bilophila sp. 4_1_30,693988,0,0,0,0,0,0,0,0,0,0,0
Bilophila wadsworthia 3_1_6,563192,0,1,0,0,0,0,0,0,0,0,0
Bordetella avium 197N,360910,0,1,0,0,0,1,0,0,0,0,0
Bordetella bronchiseptica RB50,257310,0,1,0,0,0,0,0,0,0,0,0
Bordetella parapertussis 12822,257311,0,1,0,0,0,0,0,0,0,0,0
Bordetella pertussis B0558,743273,0,1,0,0,0,0,0,0,0,0,0
Bordetella pertussis B1193,743274,0,1,0,0,0,0,0,0,0,0,0
Bordetella pertussis B1834,743276,0,1,0,0,0,0,0,0,0,0,0
Bordetella pertussis CS,1017264,0,1,0,0,0,0,0,0,0,0,0
Bordetella pertussis Tohama I,257313,0,1,0,0,0,0,0,0,0,0,0
Bordetella petrii DSM 12804,340100,0,1,0,0,0,0,0,0,0,0,0
Bradyrhizobiaceae bacterium SG-6C,709797,0,1,0,0,0,0,0,0,0,0,0
Bradyrhizobium elkanii 587,1156987,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium japonicum USDA 110,224911,3,1,0,0,0,0,0,0,0,0,0
Bradyrhizobium japonicum USDA 6,1037409,0,1,0,0,0,0,0,1,0,0,0
Bradyrhizobium sp. BTAi1,288000,2,2,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp. ORS 285,115808,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp. ORS 375,566679,1,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp. ORS278,114615,3,3,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp. S23321,335659,0,1,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp. STM 3809,551936,0,1,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp. STM 3843,551947,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp. WSM471,319017,0,1,0,0,0,0,0,0,0,0,0
Brenneria sp. EniD312,598467,2,2,0,0,0,0,0,0,0,0,0
Brevundimonas diminuta ATCC 11568,751586,0,0,0,0,0,0,0,0,0,0,0
Brevundimonas sp. BAL3,391600,2,12,0,0,0,0,0,0,0,0,0
Brevundimonas subvibrioides ATCC 15264,633149,0,4,0,0,0,0,0,0,0,0,0
Brucella abortus A13334,1104320,0,1,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. 9-941,262698,0,1,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. NI010,1051059,0,0,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. NI016,1051060,0,0,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. NI021,1051061,0,0,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. NI259,1051062,0,0,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. NI435a,1051055,0,0,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. NI474,1051056,0,0,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. NI486,1051057,0,0,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 1 str. NI488,1051058,0,0,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 2 str. 86/8/59,520450,0,1,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 3 str. Tulya,520451,0,1,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 4 str. 292,520452,0,1,0,0,0,0,0,0,0,0,0
Brucella abortus bv. 5 str. B3196,520453,0,1,0,0,0,0,0,0,0,0,0
