	Cohort	Category	Substrate	Antibiotic	Anaerobic_Type	Stress	Gas_Status	Replicate	ModuleName	ModuleNameRep
DN_stresses_xylose_10percentcarbon_ae_9_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	10%C	aerobic	5	10%C_xylose	10%C_xylose_5
DN_stresses_xylose_10percentcarbon_ae_10_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	10%C	aerobic	6	10%C_xylose	10%C_xylose_6
DN_stresses_24Donly_24D_ae_2_plate0002	DanFunctionalModules2	Stresses	"2,4-D"	NA	NA	"2,4-D"	aerobic	1	"2,4-D_2,4-D"	"2,4-D_2,4-D_1"
DN_stresses_24Donly_24D_ae_4_plate0002	DanFunctionalModules2	Stresses	"2,4-D"	NA	NA	"2,4-D"	aerobic	2	"2,4-D_2,4-D"	"2,4-D_2,4-D_2"
DN_stresses_24Donly_24D_ae_6_plate0002	DanFunctionalModules2	Stresses	"2,4-D"	NA	NA	"2,4-D"	aerobic	3	"2,4-D_2,4-D"	"2,4-D_2,4-D_3"
DN_stresses_24Donly_24D_ae_7_plate0002	DanFunctionalModules2	Stresses	"2,4-D"	NA	NA	"2,4-D"	aerobic	4	"2,4-D_2,4-D"	"2,4-D_2,4-D_4"
DN_stresses_24Donly_24D_ae_8_plate0002	DanFunctionalModules2	Stresses	"2,4-D"	NA	NA	"2,4-D"	aerobic	5	"2,4-D_2,4-D"	"2,4-D_2,4-D_5"
DN_stresses_24Donly_24D_ae_9_plate0002	DanFunctionalModules2	Stresses	"2,4-D"	NA	NA	"2,4-D"	aerobic	6	"2,4-D_2,4-D"	"2,4-D_2,4-D_6"
DN_stresses_nacetylglucosamine_24D_ae_1_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	"2,4-D"	aerobic	1	"2,4-D_n-acetylglucosamine"	"2,4-D_n-acetylglucosamine_1"
DN_stresses_nacetylglucosamine_24D_ae_3_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	"2,4-D"	aerobic	2	"2,4-D_n-acetylglucosamine"	"2,4-D_n-acetylglucosamine_2"
DN_stresses_nacetylglucosamine_24D_ae_4_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	"2,4-D"	aerobic	3	"2,4-D_n-acetylglucosamine"	"2,4-D_n-acetylglucosamine_3"
DN_stresses_nacetylglucosamine_24D_ae_5_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	"2,4-D"	aerobic	4	"2,4-D_n-acetylglucosamine"	"2,4-D_n-acetylglucosamine_4"
DN_stresses_nacetylglucosamine_24D_ae_6_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	"2,4-D"	aerobic	5	"2,4-D_n-acetylglucosamine"	"2,4-D_n-acetylglucosamine_5"
DN_stresses_nacetylglucosamine_24D_ae_8_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	"2,4-D"	aerobic	6	"2,4-D_n-acetylglucosamine"	"2,4-D_n-acetylglucosamine_6"
DN_stresses_xylan_24D_ae_1_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	"2,4-D"	aerobic	1	"2,4-D_xylan"	"2,4-D_xylan_1"
DN_stresses_xylan_24D_ae_4_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	"2,4-D"	aerobic	2	"2,4-D_xylan"	"2,4-D_xylan_2"
DN_stresses_xylan_24D_ae_6_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	"2,4-D"	aerobic	3	"2,4-D_xylan"	"2,4-D_xylan_3"
DN_stresses_xylan_24D_ae_7_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	"2,4-D"	aerobic	4	"2,4-D_xylan"	"2,4-D_xylan_4"
DN_stresses_xylan_24D_ae_8_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	"2,4-D"	aerobic	5	"2,4-D_xylan"	"2,4-D_xylan_5"
DN_stresses_xylan_24D_ae_9_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	"2,4-D"	aerobic	6	"2,4-D_xylan"	"2,4-D_xylan_6"
DN_stresses_xylose_24D_ae_1_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	"2,4-D"	aerobic	1	"2,4-D_xylose"	"2,4-D_xylose_1"
DN_stresses_xylose_24D_ae_2_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	"2,4-D"	aerobic	2	"2,4-D_xylose"	"2,4-D_xylose_2"
DN_stresses_xylose_24D_ae_4_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	"2,4-D"	aerobic	3	"2,4-D_xylose"	"2,4-D_xylose_3"
DN_stresses_xylose_24D_ae_6_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	"2,4-D"	aerobic	4	"2,4-D_xylose"	"2,4-D_xylose_4"
DN_stresses_xylose_24D_ae_7_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	"2,4-D"	aerobic	5	"2,4-D_xylose"	"2,4-D_xylose_5"
DN_stresses_xylose_24D_ae_9_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	"2,4-D"	aerobic	6	"2,4-D_xylose"	"2,4-D_xylose_6"
DN_organicacids_acetate_ae_1_A	DanFunctionalModules1	Simple Substrates	acetate	NA	NA	NA	aerobic	1	acetate	acetate_1
DN_organicacids_acetate_ae_2_A	DanFunctionalModules1	Simple Substrates	acetate	NA	NA	NA	aerobic	2	acetate	acetate_2
DN_organicacids_acetate_ae_3_A	DanFunctionalModules1	Simple Substrates	acetate	NA	NA	NA	aerobic	3	acetate	acetate_3
DN_organicacids_acetate_ae_4_A	DanFunctionalModules1	Simple Substrates	acetate	NA	NA	NA	aerobic	4	acetate	acetate_4
DN_organicacids_acetate_ae_5_A	DanFunctionalModules1	Simple Substrates	acetate	NA	NA	NA	aerobic	5	acetate	acetate_5
DN_anaerobic_glc_posacetogen_an_10_A	DanFunctionalModules1	Anaerobic	glucose	NA	acetogen	NA	anaerobic	1	acetogen	acetogen_1
DN_anaerobic_glc_posacetogen_an_16_A	DanFunctionalModules1	Anaerobic	glucose	NA	acetogen	NA	anaerobic	2	acetogen	acetogen_2
DN_anaerobic_glcwithacetogen_NA_an_22_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	acetogen	NA	anaerobic	6	acetogen	acetogen_6
DN_anaerobic_glcwithacetogen_NA_an_24_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	acetogen	NA	anaerobic	7	acetogen	acetogen_7
DN_anaerobic_glc_posacetogen_an_18_A	DanFunctionalModules1	Anaerobic	glucose	NA	acetogen	NA	anaerobic	3	acetogen	acetogen_3
DN_anaerobic_glc_posacetogen_an_19_A	DanFunctionalModules1	Anaerobic	glucose	NA	acetogen	NA	anaerobic	4	acetogen	acetogen_4
DN_anaerobic_glc_posacetogen_an_5_A	DanFunctionalModules1	Anaerobic	glucose	NA	acetogen	NA	anaerobic	5	acetogen	acetogen_5
DN_anaerobic_glcwithacetogen_NA_an_59_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	acetogen	NA	anaerobic	8	acetogen	acetogen_8
DN_anaerobic_glcwithacetogen_NA_an_63_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	acetogen	NA	anaerobic	9	acetogen	acetogen_9
DN_anaerobic_glcwithacetogen_NA_an_64_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	acetogen	NA	anaerobic	10	acetogen	acetogen_10
DN_plantsugars_arabinose_ae_1_A	DanFunctionalModules1	Simple Substrates	arabinose	NA	NA	NA	aerobic	1	arabinose	arabinose_1
DN_plantsugars_arabinose_ae_2_A	DanFunctionalModules1	Simple Substrates	arabinose	NA	NA	NA	aerobic	2	arabinose	arabinose_2
DN_simplesugar_arabinose_NA_ae_21_plate0002	DanFunctionalModules2	Simple Substrates	arabinose	NA	NA	NA	aerobic	4	arabinose	arabinose_4
DN_simplesugar_arabinose_NA_ae_25_plate0002	DanFunctionalModules2	Simple Substrates	arabinose	NA	NA	NA	aerobic	5	arabinose	arabinose_5
DN_simplesugar_arabinose_NA_ae_27_plate0002	DanFunctionalModules2	Simple Substrates	arabinose	NA	NA	NA	aerobic	6	arabinose	arabinose_6
DN_plantsugars_arabinose_ae_5_A	DanFunctionalModules1	Simple Substrates	arabinose	NA	NA	NA	aerobic	3	arabinose	arabinose_3
DN_BEN_EARLY_8_31_18_1	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	1	benomyl	benomyl_1
DN_BEN_LATE_8_31_18_1	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	1	benomyl	benomyl_1
DN_BEN_EARLY_8_31_18_2	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	2	benomyl	benomyl_2
DN_BEN_LATE_8_31_18_2	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	2	benomyl	benomyl_2
DN_BEN_EARLY_8_31_18_3	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	3	benomyl	benomyl_3
DN_BEN_LATE_8_31_18_3	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	3	benomyl	benomyl_3
DN_BEN_EARLY_8_31_18_4	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	4	benomyl	benomyl_4
DN_BEN_LATE_8_31_18_4	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	4	benomyl	benomyl_4
DN_BEN_EARLY_8_31_18_5	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	5	benomyl	benomyl_5
DN_BEN_LATE_8_31_18_5	DanFunctionalModules1	Antibiotics	glucose	benomyl	NA	NA	aerobic	5	benomyl	benomyl_5
DN_plantsugars_cellobiose_ae_1_A	DanFunctionalModules1	Polysaccharides	cellobiose	NA	NA	NA	aerobic	1	cellobiose	cellobiose_1
DN_plantsugars_cellobiose_ae_2_A	DanFunctionalModules1	Polysaccharides	cellobiose	NA	NA	NA	aerobic	2	cellobiose	cellobiose_2
DN_plantsugars_cellobiose_ae_3_A	DanFunctionalModules1	Polysaccharides	cellobiose	NA	NA	NA	aerobic	3	cellobiose	cellobiose_3
DN_plantsugars_cellobiose_ae_4_A	DanFunctionalModules1	Polysaccharides	cellobiose	NA	NA	NA	aerobic	4	cellobiose	cellobiose_4
DN_plantsugars_cellobiose_ae_5_A	DanFunctionalModules1	Polysaccharides	cellobiose	NA	NA	NA	aerobic	5	cellobiose	cellobiose_5
DN_plantsugars_cellulose_ae_1_A	DanFunctionalModules1	Polysaccharides	cellulose	NA	NA	NA	aerobic	1	cellulose	cellulose_1
DN_plantsugars_cellulose_ae_4_A	DanFunctionalModules1	Polysaccharides	cellulose	NA	NA	NA	aerobic	2	cellulose	cellulose_2
DN_plantsugars_cellulose_ae_5_A	DanFunctionalModules1	Polysaccharides	cellulose	NA	NA	NA	aerobic	3	cellulose	cellulose_3
DN_plantsugars_cellulose_ae_6_A	DanFunctionalModules1	Polysaccharides	cellulose	NA	NA	NA	aerobic	4	cellulose	cellulose_4
DN_plantsugars_cellulose_ae_7_A	DanFunctionalModules1	Polysaccharides	cellulose	NA	NA	NA	aerobic	5	cellulose	cellulose_5
DN_plantsugars_cellulose_ae_8_A	DanFunctionalModules1	Polysaccharides	cellulose	NA	NA	NA	aerobic	6	cellulose	cellulose_6
DN_plantsugars_chitin_ae_1_A	DanFunctionalModules1	Polysaccharides	chitin	NA	NA	NA	aerobic	1	chitin	chitin_1
DN_plantsugars_chitin_ae_2_A	DanFunctionalModules1	Polysaccharides	chitin	NA	NA	NA	aerobic	2	chitin	chitin_2
DN_plantsugars_chitin_ae_3_A	DanFunctionalModules1	Polysaccharides	chitin	NA	NA	NA	aerobic	3	chitin	chitin_3
DN_plantsugars_chitin_ae_4_A	DanFunctionalModules1	Polysaccharides	chitin	NA	NA	NA	aerobic	4	chitin	chitin_4
DN_plantsugars_chitin_ae_5_A	DanFunctionalModules1	Polysaccharides	chitin	NA	NA	NA	aerobic	5	chitin	chitin_5
DN_antibiotics_glc_poschloramphenicol_ae_1_A	DanFunctionalModules1	Antibiotics	glucose	chloramphenicol	NA	NA	aerobic	1	chloramphenicol	chloramphenicol_1
DN_antibiotics_glc_poschloramphenicol_ae_2_A	DanFunctionalModules1	Antibiotics	glucose	chloramphenicol	NA	NA	aerobic	2	chloramphenicol	chloramphenicol_2
DN_antibiotics_glc_poschloramphenicol_ae_3_A	DanFunctionalModules1	Antibiotics	glucose	chloramphenicol	NA	NA	aerobic	3	chloramphenicol	chloramphenicol_3
DN_antibiotics_glc_poschloramphenicol_ae_4_A	DanFunctionalModules1	Antibiotics	glucose	chloramphenicol	NA	NA	aerobic	4	chloramphenicol	chloramphenicol_4
DN_antibiotics_glc_poschloramphenicol_ae_5_A	DanFunctionalModules1	Antibiotics	glucose	chloramphenicol	NA	NA	aerobic	5	chloramphenicol	chloramphenicol_5
DN_CIT_10E3_7_17_18_1	DanFunctionalModules1	Simple Substrates	citrate	NA	NA	NA	aerobic	1	citrate	citrate_1
DN_CIT_10E3_7_17_18_2	DanFunctionalModules1	Simple Substrates	citrate	NA	NA	NA	aerobic	2	citrate	citrate_2
DN_CIT_10E3_7_17_18_3	DanFunctionalModules1	Simple Substrates	citrate	NA	NA	NA	aerobic	3	citrate	citrate_3
DN_CIT_10E3_7_17_18_4	DanFunctionalModules1	Simple Substrates	citrate	NA	NA	NA	aerobic	4	citrate	citrate_4
DN_CIT_10E3_7_17_18_5	DanFunctionalModules1	Simple Substrates	citrate	NA	NA	NA	aerobic	5	citrate	citrate_5
DN_plantsugars_D_galacturonicacid_ae_1_A	DanFunctionalModules1	Simple Substrates	D-galacturonicacid	NA	NA	NA	aerobic	1	D-galacturonicacid	D-galacturonicacid_1
DN_plantsugars_D_galacturonicacid_ae_2_A	DanFunctionalModules1	Simple Substrates	D-galacturonicacid	NA	NA	NA	aerobic	2	D-galacturonicacid	D-galacturonicacid_2
DN_plantsugars_D_galacturonicacid_ae_3_A	DanFunctionalModules1	Simple Substrates	D-galacturonicacid	NA	NA	NA	aerobic	3	D-galacturonicacid	D-galacturonicacid_3
DN_plantsugars_D_galacturonicacid_ae_4_A	DanFunctionalModules1	Simple Substrates	D-galacturonicacid	NA	NA	NA	aerobic	4	D-galacturonicacid	D-galacturonicacid_4
DN_plantsugars_D_galacturonicacid_ae_5_A	DanFunctionalModules1	Simple Substrates	D-galacturonicacid	NA	NA	NA	aerobic	5	D-galacturonicacid	D-galacturonicacid_5
DN_plantsugars_D_glucuronicacid_ae_1_A	DanFunctionalModules1	Simple Substrates	D-glucuronicacid	NA	NA	NA	aerobic	1	D-glucuronicacid	D-glucuronicacid_1
DN_plantsugars_D_glucuronicacid_ae_2_A	DanFunctionalModules1	Simple Substrates	D-glucuronicacid	NA	NA	NA	aerobic	2	D-glucuronicacid	D-glucuronicacid_2
DN_simplesugar_Dglucuronicacid_NA_ae_23_plate0002	DanFunctionalModules2	Simple Substrates	D-glucuronicacid	NA	NA	NA	aerobic	5	D-glucuronicacid	D-glucuronicacid_5
DN_simplesugar_Dglucuronicacid_NA_ae_28_plate0002	DanFunctionalModules2	Simple Substrates	D-glucuronicacid	NA	NA	NA	aerobic	6	D-glucuronicacid	D-glucuronicacid_6
DN_plantsugars_D_glucuronicacid_ae_4_A	DanFunctionalModules1	Simple Substrates	D-glucuronicacid	NA	NA	NA	aerobic	3	D-glucuronicacid	D-glucuronicacid_3
DN_plantsugars_D_glucuronicacid_ae_5_A	DanFunctionalModules1	Simple Substrates	D-glucuronicacid	NA	NA	NA	aerobic	4	D-glucuronicacid	D-glucuronicacid_4
DN_antibiotics_glc_poserythromycin_ae_1_A	DanFunctionalModules1	Antibiotics	glucose	erythromycin	NA	NA	aerobic	1	erythromycin	erythromycin_1
DN_antibiotics_glcwitherythromycin_NA_ae_10_plate0002	DanFunctionalModules2	Antibiotics	glucose	erythromycin	NA	NA	aerobic	6	erythromycin	erythromycin_6
DN_antibiotics_glcwitherythromycin_NA_ae_12_plate0002	DanFunctionalModules2	Antibiotics	glucose	erythromycin	NA	NA	aerobic	7	erythromycin	erythromycin_7
DN_antibiotics_glcwitherythromycin_NA_ae_14_plate0002	DanFunctionalModules2	Antibiotics	glucose	erythromycin	NA	NA	aerobic	8	erythromycin	erythromycin_8
DN_antibiotics_glc_poserythromycin_ae_3_A	DanFunctionalModules1	Antibiotics	glucose	erythromycin	NA	NA	aerobic	2	erythromycin	erythromycin_2
DN_antibiotics_glc_poserythromycin_ae_5_A	DanFunctionalModules1	Antibiotics	glucose	erythromycin	NA	NA	aerobic	3	erythromycin	erythromycin_3
DN_antibiotics_glc_poserythromycin_ae_7_A	DanFunctionalModules1	Antibiotics	glucose	erythromycin	NA	NA	aerobic	4	erythromycin	erythromycin_4
DN_antibiotics_glc_poserythromycin_ae_9_A	DanFunctionalModules1	Antibiotics	glucose	erythromycin	NA	NA	aerobic	5	erythromycin	erythromycin_5
DN_anaerobic_glc_posfs_FeSO4_an_1_A	DanFunctionalModules1	Anaerobic	glucose	NA	fsFeSO4	NA	anaerobic	1	fsFeSO4	fsFeSO4_1
DN_anaerobic_glc_posfs_FeSO4_an_4_A	DanFunctionalModules1	Anaerobic	glucose	NA	fsFeSO4	NA	anaerobic	2	fsFeSO4	fsFeSO4_2
DN_anaerobic_glcwithfsFeSO4_NA_an_21_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	fsFeSO4	NA	anaerobic	4	fsFeSO4	fsFeSO4_4
DN_anaerobic_glcwithfsFeSO4_NA_an_23_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	fsFeSO4	NA	anaerobic	5	fsFeSO4	fsFeSO4_5
DN_anaerobic_glcwithfsFeSO4_NA_an_25_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	fsFeSO4	NA	anaerobic	6	fsFeSO4	fsFeSO4_6
DN_anaerobic_glc_posfs_FeSO4_an_10_A	DanFunctionalModules1	Anaerobic	glucose	NA	fsFeSO4	NA	anaerobic	3	fsFeSO4	fsFeSO4_3
DN_plantsugars_galactose_ae_1_A	DanFunctionalModules1	Simple Substrates	galactose	NA	NA	NA	aerobic	1	galactose	galactose_1
DN_plantsugars_galactose_ae_2_A	DanFunctionalModules1	Simple Substrates	galactose	NA	NA	NA	aerobic	2	galactose	galactose_2
DN_plantsugars_galactose_ae_3_A	DanFunctionalModules1	Simple Substrates	galactose	NA	NA	NA	aerobic	3	galactose	galactose_3
DN_plantsugars_galactose_ae_4_A	DanFunctionalModules1	Simple Substrates	galactose	NA	NA	NA	aerobic	4	galactose	galactose_4
DN_plantsugars_galactose_ae_5_A	DanFunctionalModules1	Simple Substrates	galactose	NA	NA	NA	aerobic	5	galactose	galactose_5
DN_antibiotics_glc_posgentamycin_ae_1_A	DanFunctionalModules1	Antibiotics	glucose	gentamycin	NA	NA	aerobic	1	gentamycin	gentamycin_1
DN_antibiotics_glc_posgentamycin_ae_2_A	DanFunctionalModules1	Antibiotics	glucose	gentamycin	NA	NA	aerobic	2	gentamycin	gentamycin_2
DN_antibiotics_glc_posgentamycin_ae_3_A	DanFunctionalModules1	Antibiotics	glucose	gentamycin	NA	NA	aerobic	3	gentamycin	gentamycin_3
DN_antibiotics_glc_posgentamycin_ae_4_A	DanFunctionalModules1	Antibiotics	glucose	gentamycin	NA	NA	aerobic	4	gentamycin	gentamycin_4
DN_antibiotics_glc_posgentamycin_ae_5_A	DanFunctionalModules1	Antibiotics	glucose	gentamycin	NA	NA	aerobic	5	gentamycin	gentamycin_5
DN_plantsugars_glucosamine_ae_1_A	DanFunctionalModules1	Simple Substrates	glucosamine	NA	NA	NA	aerobic	1	glucosamine	glucosamine_1
DN_plantsugars_glucosamine_ae_7_A	DanFunctionalModules1	Simple Substrates	glucosamine	NA	NA	NA	aerobic	2	glucosamine	glucosamine_2
DN_plantsugars_glucosamine_ae_8_A	DanFunctionalModules1	Simple Substrates	glucosamine	NA	NA	NA	aerobic	3	glucosamine	glucosamine_3
DN_plantsugars_glucosamine_ae_9_A	DanFunctionalModules1	Simple Substrates	glucosamine	NA	NA	NA	aerobic	4	glucosamine	glucosamine_4
DN_plantsugars_glucosamine_ae_10_A	DanFunctionalModules1	Simple Substrates	glucosamine	NA	NA	NA	aerobic	5	glucosamine	glucosamine_5
DN_GLC_10E3_7_17_18_1	DanFunctionalModules1	Simple Substrates	glucose	NA	NA	control	aerobic	1	glucose	glucose_1
DN_GLC_10E3_7_17_18_2	DanFunctionalModules1	Simple Substrates	glucose	NA	NA	control	aerobic	2	glucose	glucose_2
DN_GLC_10E3_7_17_18_3	DanFunctionalModules1	Simple Substrates	glucose	NA	NA	control	aerobic	3	glucose	glucose_3
DN_GLC_10E3_7_17_18_4	DanFunctionalModules1	Simple Substrates	glucose	NA	NA	control	aerobic	4	glucose	glucose_4
DN_GLC_10E3_7_17_18_5	DanFunctionalModules1	Simple Substrates	glucose	NA	NA	control	aerobic	5	glucose	glucose_5
DN_organicacids_glutamate_ae_1_B	DanFunctionalModules1	Simple Substrates	glutamate	NA	NA	NA	aerobic	1	glutamate	glutamate_1
DN_organicacids_glutamate_ae_2_B	DanFunctionalModules1	Simple Substrates	glutamate	NA	NA	NA	aerobic	2	glutamate	glutamate_2
DN_organicacids_glutamate_ae_3_B	DanFunctionalModules1	Simple Substrates	glutamate	NA	NA	NA	aerobic	3	glutamate	glutamate_3
DN_organicacids_glutamate_ae_4_B	DanFunctionalModules1	Simple Substrates	glutamate	NA	NA	NA	aerobic	4	glutamate	glutamate_4
DN_organicacids_glutamate_ae_5_B	DanFunctionalModules1	Simple Substrates	glutamate	NA	NA	NA	aerobic	5	glutamate	glutamate_5
DN_misc_glycerol_ae_3_B	DanFunctionalModules1	Simple Substrates	glycerol	NA	NA	NA	aerobic	3	glycerol	glycerol_3
DN_misc_glycerol_ae_4_B	DanFunctionalModules1	Simple Substrates	glycerol	NA	NA	NA	aerobic	4	glycerol	glycerol_4
DN_misc_glycerol_ae_5_B	DanFunctionalModules1	Simple Substrates	glycerol	NA	NA	NA	aerobic	5	glycerol	glycerol_5
DN_GLY_10E3_7_23_18_1	DanFunctionalModules1	Simple Substrates	glycine	NA	NA	NA	aerobic	1	glycine	glycine_1
DN_GLY_10E3_7_23_18_2	DanFunctionalModules1	Simple Substrates	glycine	NA	NA	NA	aerobic	2	glycine	glycine_2
DN_GLY_10E3_7_23_18_3	DanFunctionalModules1	Simple Substrates	glycine	NA	NA	NA	aerobic	3	glycine	glycine_3
DN_GLY_10E3_7_23_18_4	DanFunctionalModules1	Simple Substrates	glycine	NA	NA	NA	aerobic	4	glycine	glycine_4
DN_GLY_10E3_7_23_18_5	DanFunctionalModules1	Simple Substrates	glycine	NA	NA	NA	aerobic	5	glycine	glycine_5
DN_organicacids_glyoxylate_ae_1_B	DanFunctionalModules1	Simple Substrates	glyoxylate	NA	NA	NA	aerobic	1	glyoxylate	glyoxylate_1
DN_organicacids_glyoxylate_ae_2_B	DanFunctionalModules1	Simple Substrates	glyoxylate	NA	NA	NA	aerobic	2	glyoxylate	glyoxylate_2
DN_organicacids_glyoxylate_ae_5_B	DanFunctionalModules1	Simple Substrates	glyoxylate	NA	NA	NA	aerobic	3	glyoxylate	glyoxylate_3
DN_organicacids_glyoxylate_ae_6_B	DanFunctionalModules1	Simple Substrates	glyoxylate	NA	NA	NA	aerobic	4	glyoxylate	glyoxylate_4
DN_organicacids_glyoxylate_ae_10_B	DanFunctionalModules1	Simple Substrates	glyoxylate	NA	NA	NA	aerobic	5	glyoxylate	glyoxylate_5
DN_stresses_nacetylglucosamine_heat_ae_1_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	heat	aerobic	1	heat_n-acetylglucosamine	heat_n-acetylglucosamine_1
DN_stresses_nacetylglucosamine_heat_ae_4_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	heat	aerobic	2	heat_n-acetylglucosamine	heat_n-acetylglucosamine_2
DN_stresses_nacetylglucosamine_heat_ae_5_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	heat	aerobic	3	heat_n-acetylglucosamine	heat_n-acetylglucosamine_3
DN_stresses_nacetylglucosamine_heat_ae_7_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	heat	aerobic	4	heat_n-acetylglucosamine	heat_n-acetylglucosamine_4
DN_stresses_nacetylglucosamine_heat_ae_8_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	heat	aerobic	5	heat_n-acetylglucosamine	heat_n-acetylglucosamine_5
